Confederacao,Selecao,Formacao,Jogador,Posicao,Sub_Funcao_Tatica
CAF,Cabo Verde,4-2-3-1,Jovane Cabral,LW,Inside Forward
CAF,Cabo Verde,4-2-3-1,Dailon Livramento,ST,Advanced Forward
CAF,Argélia,4-2-3-1,Luca Zidane,GK,Sweeper Keeper
CAF,Argélia,4-2-3-1,Rafik Belghali,RB,Attacking Fullback
CAF,Argélia,4-2-3-1,Zineddine Belaid,CB,Central Defender
CAF,Argélia,4-2-3-1,Ramy Bensebaini,CB,Ball-Playing Defender
CAF,Argélia,4-2-3-1,Rayan Ait-Nouri,LB,Complete Wing-Back
CAF,Argélia,4-2-3-1,Ramiz Zerrouki,CDM,Deep-Lying Playmaker
CAF,Argélia,4-2-3-1,Hicham Boudaoui,CDM,Box-to-Box Midfielder
CAF,Argélia,4-2-3-1,Houssem Aouar,CAM,Advanced Playmaker
CAF,Argélia,4-2-3-1,Riyad Mahrez,RW,Inside Forward
CAF,Argélia,4-2-3-1,Fares Chaibi,LW,Winger
CAF,Argélia,4-2-3-1,Amine Gouiri,ST,Complete Forward
CAF,RD Congo,4-2-3-1,Lionel Mpasi,GK,Standard Goalkeeper
CAF,RD Congo,4-2-3-1,Aaron Wan-Bissaka,RB,Defensive Fullback
CAF,RD Congo,4-2-3-1,Chancel Mbemba,CB,Ball-Playing Defender
CAF,RD Congo,4-2-3-1,Axel Tuanzebe,CB,Central Defender
CAF,RD Congo,4-2-3-1,Arthur Masuaku,LB,Attacking Fullback
CAF,RD Congo,4-2-3-1,Charles Pickel,CDM,Ball-Winning Midfielder
CAF,RD Congo,4-2-3-1,Samuel Moutoussamy,CDM,Box-to-Box Midfielder
CAF,RD Congo,4-2-3-1,Gaël Kakuta,CAM,Advanced Playmaker
CAF,RD Congo,4-2-3-1,Théo Bongonda,RW,Winger
CAF,RD Congo,4-2-3-1,Yoane Wissa,LW,Inside Forward
CAF,RD Congo,4-2-3-1,Cédric Bakambu,ST,Target Man
CAF,Gana,4-2-3-1,Benjamin Asare,GK,Standard Goalkeeper
CAF,Gana,4-2-3-1,Alidu Seidu,RB,Defensive Fullback
CAF,Gana,4-2-3-1,Kojo Peprah Oppong,CB,Ball-Playing Defender
CAF,Gana,4-2-3-1,Abdul Mumin,CB,Central Defender
CAF,Gana,4-2-3-1,Gideon Mensah,LB,Attacking Fullback
CAF,Gana,4-2-3-1,Thomas Partey,CDM,Deep-Lying Playmaker
CAF,Gana,4-2-3-1,Caleb Yirenkyi,CDM,Box-to-Box Midfielder
CAF,Gana,4-2-3-1,Abdul Fatawu,RW,Winger
CAF,Gana,4-2-3-1,Ernest Nuamah,CAM,Advanced Playmaker
CAF,Gana,4-2-3-1,Antoine Semenyo,LW,Inside Forward
CAF,Gana,4-2-3-1,Iñaki Williams,ST,Advanced Forward
CAF,Gana_SKIP,3-4-3,Asare,GK,N/A
CAF,Gana_SKIP,3-4-3,Adjetei,CB,N/A
CAF,Gana_SKIP,3-4-3,Seidu,CB,N/A
CAF,Gana_SKIP,3-4-3,Oppong,CB,N/A
CAF,Gana_SKIP,3-4-3,Yirenkyi,RM,N/A
CAF,Gana_SKIP,3-4-3,Sibo,CM,N/A
CAF,Gana_SKIP,3-4-3,Partey,CM,N/A
CAF,Gana_SKIP,3-4-3,Mensah,LM,N/A
CAF,Gana_SKIP,3-4-3,Sulemana,RW,N/A
CAF,Gana_SKIP,3-4-3,Semenyo,ST,N/A
CAF,Gana_SKIP,3-4-3,Ayew,LW,N/A
CAF,Egito,3-4-1-2,El Shenawy,GK,N/A
CAF,Egito,3-4-1-2,Ibrahim,CB,N/A
CAF,Egito,3-4-1-2,Abdelmaguif,CB,N/A
CAF,Egito,3-4-1-2,Rabia,CB,N/A
CAF,Egito,3-4-1-2,Hany,RM,N/A
CAF,Egito,3-4-1-2,Ateya,CM,N/A
CAF,Egito,3-4-1-2,Lasheen,CM,N/A
CAF,Egito,3-4-1-2,Fatouh,LM,N/A
CAF,Egito,3-4-1-2,Ashour,CAM,N/A
CAF,Egito,3-4-1-2,Salah,ST,N/A
CAF,Egito,3-4-1-2,Marmoush,ST,N/A
AFC/OFC,Coreia do Sul,4-2-3-1,Seung-gyu Kim,GK,Sweeper Keeper
AFC/OFC,Coreia do Sul,4-2-3-1,Young-woo Seol,RB,Attacking Fullback
AFC/OFC,Coreia do Sul,4-2-3-1,Min-jae Kim,CB,Ball-Playing Defender
AFC/OFC,Coreia do Sul,4-2-3-1,Han-beom Lee,CB,Central Defender
AFC/OFC,Coreia do Sul,4-2-3-1,Tae-seok Lee,LB,Support Fullback
AFC/OFC,Coreia do Sul,4-2-3-1,Wang,CDM,Deep-Lying Playmaker (Anomalia)
AFC/OFC,Coreia do Sul,4-2-3-1,Jens Castrop,CDM,Box-to-Box Midfielder
AFC/OFC,Coreia do Sul,4-2-3-1,Jae-sung Lee,CAM,Advanced Playmaker
AFC/OFC,Coreia do Sul,4-2-3-1,Kang-in Lee,RW,Inside Forward
AFC/OFC,Coreia do Sul,4-2-3-1,Jun-ho Bae,LW,Winger
AFC/OFC,Coreia do Sul,4-2-3-1,Heung-min Son,ST,Advanced Forward
AFC/OFC,Catar,4-3-3,Meshaal Barsham,GK,Standard Goalkeeper
AFC/OFC,Catar,4-3-3,Ayoub Al-Oui,RB,Defensive Fullback
AFC/OFC,Catar,4-3-3,Boualem Khoukhi,CB,Ball-Playing Defender
AFC/OFC,Catar,4-3-3,Pedro Miguel,CB,Central Defender
AFC/OFC,Catar,4-3-3,Homam Al-Amin,LB,Attacking Fullback
AFC/OFC,Catar,4-3-3,Karim Boudiaf,CM,Ball-Winning Midfielder
AFC/OFC,Catar,4-3-3,Ahmed Fathy,CM,Deep-Lying Playmaker
AFC/OFC,Catar,4-3-3,Issa Laye,CM,Box-to-Box Midfielder
AFC/OFC,Catar,4-3-3,Edmilson Junior,RW,Inside Forward
AFC/OFC,Catar,4-3-3,Akram Afif,LW,Wide Playmaker
AFC/OFC,Catar,4-3-3,Almoez Ali,ST,Complete Forward
AFC/OFC,Austrália,5-4-1,Mathew Ryan,GK,Standard Goalkeeper
AFC/OFC,Austrália,5-4-1,Alessandro Circati,CB,Ball-Playing Defender
AFC/OFC,Austrália,5-4-1,Harry Souttar,CB,Central Defender
AFC/OFC,Austrália,5-4-1,Milos Degenek,CB,Wide Center Back
AFC/OFC,Austrália,5-4-1,Alessandro Italiano,RWB,Wing-Back
AFC/OFC,Austrália,5-4-1,Jordan Bos,LWB,Complete Wing-Back
AFC/OFC,Austrália,5-4-1,Cameron Devlin,CM,Ball-Winning Midfielder
AFC/OFC,Austrália,5-4-1,Aiden O'Neill,CM,Deep-Lying Playmaker
AFC/OFC,Austrália,5-4-1,Connor Metcalfe,RM,Wide Midfielder
AFC/OFC,Austrália,5-4-1,Nestory Irankunda,LM,Inside Forward
AFC/OFC,Austrália,5-4-1,Mohamed Touré,ST,Advanced Forward
AFC/OFC,Irã,4-2-3-1,Alireza Beyranvand,GK,Sweeper Keeper
AFC/OFC,Irã,4-2-3-1,Aria Yousefi,RB,Attacking Fullback
AFC/OFC,Irã,4-2-3-1,Hossein Kanaani,CB,Central Defender
AFC/OFC,Irã,4-2-3-1,Shojae Khalilzadeh,CB,Ball-Playing Defender
AFC/OFC,Irã,4-2-3-1,Milad Mohammadi,LB,Support Fullback
AFC/OFC,Irã,4-2-3-1,Saeid Ezatolahi,CDM,Ball-Winning Midfielder
AFC/OFC,Irã,4-2-3-1,Saman Ghoddos,CDM,Deep-Lying Playmaker
AFC/OFC,Irã,4-2-3-1,Mehdi Ghayedi,CAM,Advanced Playmaker
AFC/OFC,Irã,4-2-3-1,Alireza Jahanbakhsh,RW,Winger
AFC/OFC,Irã,4-2-3-1,Mohammad Mohebi,LW,Inside Forward
AFC/OFC,Irã,4-2-3-1,Mehdi Taremi,ST,Complete Forward
AFC/OFC,Iraque,4-2-3-1,Jalal Hassan,GK,Standard Goalkeeper
AFC/OFC,Iraque,4-2-3-1,Hussein Ali,RB,Attacking Fullback
AFC/OFC,Iraque,4-2-3-1,Rebin Sulaka,CB,Central Defender
AFC/OFC,Iraque,4-2-3-1,Zaid Tahseen,CB,Ball-Playing Defender
AFC/OFC,Iraque,4-2-3-1,Merchas Doski,LB,Wing-Back
AFC/OFC,Iraque,4-2-3-1,Amir Al-Ammari,CDM,Deep-Lying Playmaker
AFC/OFC,Iraque,4-2-3-1,Ibrahim Bayesh,CDM,Box-to-Box Midfielder
AFC/OFC,Iraque,4-2-3-1,Zidane Iqbal,CAM,Advanced Playmaker
AFC/OFC,Iraque,4-2-3-1,Ali Jasim,RW,Inside Forward
AFC/OFC,Iraque,4-2-3-1,Youssef Amyn,LW,Winger
AFC/OFC,Iraque,4-2-3-1,Aymen Hussein,ST,Target Man
AFC/OFC,Nova Zelândia,4-2-3-1,Max Crocombe,GK,Standard Goalkeeper
AFC/OFC,Nova Zelândia,4-2-3-1,Tim Payne,RB,Defensive Fullback
AFC/OFC,Nova Zelândia,4-2-3-1,Tyler Bindon,CB,Ball-Playing Defender
AFC/OFC,Nova Zelândia,4-2-3-1,Michael Boxall,CB,Central Defender
AFC/OFC,Nova Zelândia,4-2-3-1,Liberato Cacace,LB,Attacking Fullback
AFC/OFC,Nova Zelândia,4-2-3-1,Marko Stamenic,CDM,Deep-Lying Playmaker
AFC/OFC,Nova Zelândia,4-2-3-1,Joe Bell,CDM,Ball-Winning Midfielder
AFC/OFC,Nova Zelândia,4-2-3-1,Sarpreet Singh,CAM,Advanced Playmaker
AFC/OFC,Nova Zelândia,4-2-3-1,Callum McCowatt,RW,Winger
AFC/OFC,Nova Zelândia,4-2-3-1,Matthew Garbett,LW,Inside Forward
AFC/OFC,Nova Zelândia,4-2-3-1,Chris Wood,ST,Target Man
AFC/OFC,Uzbequistão,3-4-2-1,Abduvohid Nematov,GK,Standard Goalkeeper
AFC/OFC,Uzbequistão,3-4-2-1,Abdulla Abdullaev,CB,Central Defender
AFC/OFC,Uzbequistão,3-4-2-1,Rustam Ashurmatov,CB,Ball-Playing Defender
AFC/OFC,Uzbequistão,3-4-2-1,Abdukodir Khusanov,CB,Wide Center Back
AFC/OFC,Uzbequistão,3-4-2-1,Farrukh Sayfiev,LWB,Wing-Back
AFC/OFC,Uzbequistão,3-4-2-1,Shukurov,CM,Central Midfielder (Recuperado)
AFC/OFC,Uzbequistão,3-4-2-1,Khamrobekov,CM,Central Midfielder (Recuperado)
AFC/OFC,Uzbequistão,3-4-2-1,Nasrullaev,RWB / LM,Wide Midfielder (Recuperado)
AFC/OFC,Uzbequistão,3-4-2-1,Ganiev,CAM,Attacking Midfielder (Recuperado)
AFC/OFC,Uzbequistão,3-4-2-1,Urunov,CAM,Attacking Midfielder (Recuperado)
AFC/OFC,Uzbequistão,3-4-2-1,Shomurodov,ST,Striker (Recuperado)
AFC/OFC,Arábia Saudita,4-3-3,Al-Aqidi,GK,N/A
AFC/OFC,Arábia Saudita,4-3-3,Boushal,RB,N/A
AFC/OFC,Arábia Saudita,4-3-3,Tambakti,CB,N/A
AFC/OFC,Arábia Saudita,4-3-3,Al-Amri,CB,N/A
AFC/OFC,Arábia Saudita,4-3-3,Al-Harbi,LB,N/A
AFC/OFC,Arábia Saudita,4-3-3,Kanno,CM,N/A
AFC/OFC,Arábia Saudita,4-3-3,Al-Khaibari,CM,N/A
AFC/OFC,Arábia Saudita,4-3-3,N. Al-Dawsari,CM,N/A
AFC/OFC,Arábia Saudita,4-3-3,Mandash,RW,N/A
AFC/OFC,Arábia Saudita,4-3-3,Al-Buraikan,ST,N/A
AFC/OFC,Arábia Saudita,4-3-3,S. Al-Dawsari,LW,N/A
AFC/OFC,Jordânia,3-4-3,Abulaila,GK,N/A
AFC/OFC,Jordânia,3-4-3,Abu Dahab,CB,N/A
AFC/OFC,Jordânia,3-4-3,Nasib,CB,N/A
AFC/OFC,Jordânia,3-4-3,Al-Arab,CB,N/A
AFC/OFC,Jordânia,3-4-3,Haddad,RM,N/A
AFC/OFC,Jordânia,3-4-3,Al-Rawahbdeh,CM,N/A
AFC/OFC,Jordânia,3-4-3,Al-Rashdan,CM,N/A
AFC/OFC,Jordânia,3-4-3,Abu Taha,LM,N/A
AFC/OFC,Jordânia,3-4-3,Tamari,RW,N/A
AFC/OFC,Jordânia,3-4-3,Olwan,ST,N/A
AFC/OFC,Jordânia,3-4-3,Al-Mardi,LW,N/A
AFC/OFC,Japão,3-4-2-1,Suzuki,GK,N/A
AFC/OFC,Japão,3-4-2-1,Tomiyasu,CB,N/A
AFC/OFC,Japão,3-4-2-1,Taniguchi,CB,N/A
AFC/OFC,Japão,3-4-2-1,Itakura,CB,N/A
AFC/OFC,Japão,3-4-2-1,Doan,RM,N/A
AFC/OFC,Japão,3-4-2-1,Endo,CM,N/A
AFC/OFC,Japão,3-4-2-1,Tanaka,CM,N/A
AFC/OFC,Japão,3-4-2-1,Nakamura,LM,N/A
AFC/OFC,Japão,3-4-2-1,Kubo,CAM,N/A
AFC/OFC,Japão,3-4-2-1,Ito,CAM,N/A
AFC/OFC,Japão,3-4-2-1,Ueda,ST,N/A
UEFA,Dinamarca,4-3-3,Schmeichel,GK,N/A
UEFA,Dinamarca,4-3-3,Kristensen,RB,N/A
UEFA,Dinamarca,4-3-3,Andersen,CB,N/A
UEFA,Dinamarca,4-3-3,Vestergaard,CB,N/A
UEFA,Dinamarca,4-3-3,Maehle,LB,N/A
UEFA,Dinamarca,4-3-3,Hjulmand,CM,N/A
UEFA,Dinamarca,4-3-3,Hojberg,CM,N/A
UEFA,Dinamarca,4-3-3,Eriksen,CM,N/A
UEFA,Dinamarca,4-3-3,Lindstrom,RW,N/A
UEFA,Dinamarca,4-3-3,Wind,LW,N/A
UEFA,Dinamarca,4-3-3,Hojlund,ST,N/A
UEFA,Ucrânia,4-3-3,Trubin,GK,N/A
UEFA,Ucrânia,4-3-3,Konoplya,RB,N/A
UEFA,Ucrânia,4-3-3,Zabarnyi,CB,N/A
UEFA,Ucrânia,4-3-3,Matvienko,CB,N/A
UEFA,Ucrânia,4-3-3,Mykolenko,LB,N/A
UEFA,Ucrânia,4-3-3,Stepanenko,CM,N/A
UEFA,Ucrânia,4-3-3,Shaparenko,CM,N/A
UEFA,Ucrânia,4-3-3,Zinchenko,CM,N/A
UEFA,Ucrânia,4-3-3,Mudryk,RW,N/A
UEFA,Ucrânia,4-3-3,Tsygankov,LW,N/A
UEFA,Ucrânia,4-3-3,Dovbyk,ST,N/A
UEFA,Irlanda,4-4-2,Kelleher,GK,N/A
UEFA,Irlanda,4-4-2,Coleman,RB,N/A
UEFA,Irlanda,4-4-2,Duffy,CB,N/A
UEFA,Irlanda,4-4-2,Egan,CB,N/A
UEFA,Irlanda,4-4-2,McClean,LB,N/A
UEFA,Irlanda,4-4-2,Cullen,CM,N/A
UEFA,Irlanda,4-4-2,Molumby,CM,N/A
UEFA,Irlanda,4-4-2,Doherty,RM,N/A
UEFA,Irlanda,4-4-2,Knight,LM,N/A
UEFA,Irlanda,4-4-2,Ogbene,ST,N/A
UEFA,Irlanda,4-4-2,Idah,ST,N/A
UEFA,Polônia,4-2-3-1,Szczesny,GK,N/A
UEFA,Polônia,4-2-3-1,Cash,RB,N/A
UEFA,Polônia,4-2-3-1,Bednarek,CB,N/A
UEFA,Polônia,4-2-3-1,Kiwior,CB,N/A
UEFA,Polônia,4-2-3-1,Bereszynski,LB,N/A
UEFA,Polônia,4-2-3-1,Szymanski,CDM,N/A
UEFA,Polônia,4-2-3-1,Bielik,CDM,N/A
UEFA,Polônia,4-2-3-1,Zielinski,RW,N/A
UEFA,Polônia,4-2-3-1,Frankowski,CAM,N/A
UEFA,Polônia,4-2-3-1,Moder,LW,N/A
UEFA,Polônia,4-2-3-1,Lewandowski,ST,N/A
CAF,Camarões,4-3-3,Epassy,GK,N/A
CAF,Camarões,4-3-3,Fai,RB,N/A
CAF,Camarões,4-3-3,Castelletto,CB,N/A
CAF,Camarões,4-3-3,Onguene,CB,N/A
CAF,Camarões,4-3-3,Tolo,LB,N/A
CAF,Camarões,4-3-3,Anguissa,CM,N/A
CAF,Camarões,4-3-3,Gouet,CM,N/A
CAF,Camarões,4-3-3,Kunde,CM,N/A
CAF,Camarões,4-3-3,Toko Ekambi,RW,N/A
CAF,Camarões,4-3-3,Choupo-Moting,LW,N/A
CAF,Camarões,4-3-3,Aboubakar,ST,N/A
CAF,Nigéria,4-2-3-1,Nwabali,GK,N/A
CAF,Nigéria,4-2-3-1,Aarons,RB,N/A
CAF,Nigéria,4-2-3-1,Troost-Ekong,CB,N/A
CAF,Nigéria,4-2-3-1,Bassey,CB,N/A
CAF,Nigéria,4-2-3-1,Aina,LB,N/A
CAF,Nigéria,4-2-3-1,Iwobi,CDM,N/A
CAF,Nigéria,4-2-3-1,Ndidi,CDM,N/A
CAF,Nigéria,4-2-3-1,Lookman,RW,N/A
CAF,Nigéria,4-2-3-1,Musa,CAM,N/A
CAF,Nigéria,4-2-3-1,Simon,LW,N/A
CAF,Nigéria,4-2-3-1,Osimhen,ST,N/A
CONMEBOL,Peru,4-4-2,Gallese,GK,N/A
CONMEBOL,Peru,4-4-2,Advíncula,RB,N/A
CONMEBOL,Peru,4-4-2,Zambrano,CB,N/A
CONMEBOL,Peru,4-4-2,Callens,CB,N/A
CONMEBOL,Peru,4-4-2,Trauco,LB,N/A
CONMEBOL,Peru,4-4-2,Tapia,CM,N/A
CONMEBOL,Peru,4-4-2,Peña,CM,N/A
CONMEBOL,Peru,4-4-2,Cueva,RM,N/A
CONMEBOL,Peru,4-4-2,Yotun,LM,N/A
CONMEBOL,Peru,4-4-2,Lapadula,ST,N/A
CONMEBOL,Peru,4-4-2,Guerrero,ST,N/A
CONCACAF,Jamaica,4-3-3,Lawrence,GK,N/A
CONCACAF,Jamaica,4-3-3,Rowe,RB,N/A
CONCACAF,Jamaica,4-3-3,Lowe,CB,N/A
CONCACAF,Jamaica,4-3-3,Bernard,CB,N/A
CONCACAF,Jamaica,4-3-3,Taylor,LB,N/A
CONCACAF,Jamaica,4-3-3,Nicholson,CM,N/A
CONCACAF,Jamaica,4-3-3,Johnson,CM,N/A
CONCACAF,Jamaica,4-3-3,Greenidge,CM,N/A
CONCACAF,Jamaica,4-3-3,Pinnock,RW,N/A
CONCACAF,Jamaica,4-3-3,Palmer,LW,N/A
CONCACAF,Jamaica,4-3-3,Brown,ST,N/A
